hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
Hyatt Regency,4.0,,232.0,,,,,,,,New Delhi,Delhi,"Mahatma Gandhi Marg/Ring Road, Bhikaji Cama Place, New Delhi",,28.5689952,77.1851106,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-814550,info@hyattrege.com,https://www.hyattregency.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Rousha Inn,3.6,,476.0,,,,,,,,New Delhi,Delhi,,,28.6450235,77.3232443,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-358557,info@roushainn.com,https://www.roushainn.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
South INN Green Park,3.9,,317.0,,,,,,,,New Delhi,Delhi,"E2, Green Park Extension, Delhi, Yusuf Sarai Village",,28.5590033,77.2033207,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-9810258276,southinngreenpark@gmail.com,https://southinngreenpark.com/,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Red Saffron,3.3,,75.0,,,,,,,,New Delhi,Delhi,"Sector 23 Road, New Delhi",,28.7242215,77.0808061,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-668617,info@hotelred.com,https://www.hotelredsaffr.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Four Points by Sheraton,3.2,,369.0,,,,,,,,New Delhi,Delhi,"Samalkha, Delhi",,28.5283356,77.0988651,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11-45740000,info@fourpoint.com,https://www.marriott.com/en-us/hotels/delfn-four-points-new-delhi-airport-highway/overview/,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Crowne Plaza Rohini,3.2,,70.0,4.0,,,,,,,New Delhi,Delhi,"Sector 10, Rohini Twin District Centre, New Delhi",,28.7199336,77.1097197,Free WiFi,Budget,+91 1800 66 9562,info@cprohini.com,https://www.crowneplaza.com/hotels/us/en/new-delhi/delba/hoteldetail,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
The Connaught,3.2,,169.0,5.0,,,,,,,New Delhi,Delhi,"37, Shaheed Bhagat Singh Marg, New Delhi, New Delhi",,28.6327049,77.213162,Bar,Budget,-126539,info@theconnau.com,https://www.theconnaught.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sarovar Portico,3.4,,385.0,,,,,,,,New Delhi,Delhi,"Shooting Range Road, Faridabad",,28.4896863,77.2829921,"Bar, Air Conditioning",Budget,+91 1294 0909 00,spsk@sarovarhotels.com,https://www.sarovarhotels.com/sarovar-portico-surajkund,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Premier Inn Hotel,4.1,,368.0,,,,,,,,New Delhi,Delhi,,,28.7256828,77.144081,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-662033,info@premierin.com,https://www.premierinnhot.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
The Roseate Hotel New Delhi,4.1,,382.0,,,,,,,,New Delhi,Delhi,"NH-8, Delhi, Samalkha",,28.5319029,77.1034619,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-273831,info@theroseat.com,https://www.roseatehotels.com/newdelhi/theroseate/,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hyatt Centric,3.3,,350.0,5.0,,,,,,,New Delhi,Delhi,New Delhi,,28.6289835,77.078591,"Free WiFi, Air Conditioning",Budget,-217298,info@hyattcent.com,https://www.hyattcentric.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sheraton,4.1,,271.0,,,,,,,,New Delhi,Delhi,,,28.5265813,77.2160993,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-163718,info@sheraton.com,https://www.sheraton.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Diplomat,3.6,,338.0,,,,,,,,New Delhi,Delhi,"S7, Lajpat Nagar 3",,28.5653561,77.2408838,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-409862,info@hoteldipl.com,https://www.hoteldiplomat.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
The Claridges,3.6,,368.0,,,,,,,,New Delhi,Delhi,,,28.6006481,77.2163218,Air Conditioning,Budget,+91 11 3955 5000,info@theclarid.com,https://www.claridges.com/index.asp,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Aloft New Delhi Aerocity,3.8,,119.0,,,,,,,,New Delhi,Delhi,,,28.5524258,77.1235368,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-619663,info@aloftnew.com,https://www.aloftnewdelhi.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
ANdaZ Delhi - a concept by Hyatt,3.4,,365.0,5.0,,,,,,,New Delhi,Delhi,"Asset No.1, Aerocity, New Delhi",,28.5542398,77.1220283,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-706383,info@andazdelh.com,https://www.andazdelhia.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Roseate House,3.7,,82.0,5.0,,,,,,,New Delhi,Delhi,"Asset 10, Northern Access Rd, Aerocity, Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi 110037",,28.5507261,77.120575,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11 7155 8800,info@roseateho.com,https://www.roseatehotels.com/newdelhi/roseatehouse//hotel/,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
JW Marriott Hotel New Delhi Aerocity,3.7,,276.0,,,,,,,,New Delhi,Delhi,,,28.5527985,77.1215512,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-554706,info@jwmarriot.com,https://www.jwmarriotthot.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
"Red Fox Hotel, Delhi Airport",3.7,,260.0,,,,,,,,New Delhi,Delhi,,,28.5519234,77.1208841,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-525687,info@redfoxho.com,https://www.redfoxhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Haveli Dharampura,3.6,,381.0,,,,,,,,New Delhi,Delhi,,,28.6532399,77.2322984,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-201164,info@havelidha.com,https://www.havelidharampu.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Imperial Palace,4.5,,456.0,,,,,,,,Mumbai,Maharashtra,,,18.9447467,72.834718,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-795667,info@imperialp.com,https://www.imperialpalace.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Sharada,4.0,,59.0,,,,,,,,Mumbai,Maharashtra,,,18.9461969,72.8274147,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-654943,info@sharada.com,https://www.sharada.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Cecil,3.2,,24.0,,,,,,,,Mumbai,Maharashtra,,,18.958401,72.811296,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-425881,info@cecil.com,https://www.cecil.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sunbeam Geeta,3.8,,168.0,,,,,,,,Mumbai,Maharashtra,,,18.9978253,72.818454,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-742847,info@sunbeamge.com,https://www.sunbeamgeeta.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Vivako,4.2,,183.0,,,,,,,,Mumbai,Maharashtra,,,19.0059,72.8186,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-458757,info@vivako.com,https://www.vivako.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Jollyland,3.3,,248.0,,,,,,,,Mumbai,Maharashtra,,,19.0491708,72.9051478,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-1006539,info@jollyland.com,https://www.jollyland.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ghatla,4.1,,487.0,,,,,,,,Mumbai,Maharashtra,,,19.0517387,72.9103117,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-798459,info@ghatla.com,https://www.ghatla.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Jewel of Chembur,3.7,,401.0,,,,,,,,Mumbai,Maharashtra,,,19.0616667,72.8997266,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-992629,info@jewelofc.com,https://www.jewelofchembu.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Maruthi Mahal,3.3,,289.0,,,,,,,,Mumbai,Maharashtra,,,19.0636369,72.8940601,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-673443,info@maruthima.com,https://www.maruthimahal.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Anita Mahal,3.4,,286.0,,,,,,,,Mumbai,Maharashtra,,,19.0693839,72.8836606,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-943396,info@anitamaha.com,https://www.anitamahal.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Regency,3.4,,160.0,,,,,,,,Mumbai,Maharashtra,,,19.0790449,72.8462916,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-179988,info@regency.com,https://www.regency.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Classic,3.2,,381.0,,,,,,,,Mumbai,Maharashtra,,,19.0835527,72.8384747,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-326826,info@classic.com,https://www.classic.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Atlantic,3.3,,413.0,3.0,,,,,,,Mumbai,Maharashtra,,,19.0870126,72.8274729,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-368820,info@atlantic.com,https://www.atlantic.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ajanta,4.0,,462.0,,,,,,,,Mumbai,Maharashtra,,,19.0886,72.8275,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-900891,info@ajanta.com,https://www.ajanta.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Royal Garden,3.6,,20.0,,,,,,,,Mumbai,Maharashtra,,,19.0894,72.8276,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-310318,info@royalgard.com,https://www.royalgarden.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ambassador,3.2,,494.0,,,,,,,,Mumbai,Maharashtra,,,19.103681,72.8754749,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-519463,info@ambassador.com,https://www.ambassador.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Leela Kempinski,4.2,,49.0,,,,,,,,Mumbai,Maharashtra,,,19.1065748,72.8761199,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-276093,info@leelakemp.com,https://www.leelakempinski.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Kumaria Presidency,3.6,,205.0,,,,,,,,Mumbai,Maharashtra,,,19.1065999,72.8769001,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-984997,info@kumariapr.com,https://www.kumariapreside.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Samraj,3.5,,154.0,,,,,,,,Mumbai,Maharashtra,,,19.1097262,72.8594577,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-817146,info@samraj.com,https://www.samraj.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sun n Sheel,3.9,,286.0,,,,,,,,Mumbai,Maharashtra,,,19.1111949,72.8719322,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-158185,info@sunnshee.com,https://www.sunnsheel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Tirupati,3.8,,270.0,,,,,,,,Mumbai,Maharashtra,,,19.1136052,72.8804798,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-841574,info@tirupati.com,https://www.tirupati.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Highway Inn,3.7,,94.0,,,,,,,,Mumbai,Maharashtra,,,19.1175319,72.8508646,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-638723,info@highwayin.com,https://www.highwayinn.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Tunga International,3.9,,377.0,,,,,,,,Mumbai,Maharashtra,,,19.1154,72.872,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-929453,info@tungainte.com,https://www.tungainternati.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Babul,3.9,,466.0,,,,,,,,Mumbai,Maharashtra,,,19.1217301,72.8318524,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-239104,info@babul.com,https://www.babul.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Dolphin View,3.2,,324.0,,,,,,,,Mumbai,Maharashtra,,,19.1437101,72.7893756,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-443432,info@dolphinvi.com,https://www.dolphinview.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Manisha Cottage,3.2,,234.0,,,,,,,,Mumbai,Maharashtra,,,19.1458595,72.7895646,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-677117,info@manishaco.com,https://www.manishacottage.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Blue Ballerina,3.7,,378.0,,,,,,,,Mumbai,Maharashtra,,,19.1622,72.785,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-1001571,info@blueballe.com,https://www.blueballerina.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Jay Prakash,3.3,,304.0,,,,,,,,Mumbai,Maharashtra,,,19.1623,72.8513,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-158245,info@jayprakas.com,https://www.jayprakash.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
The Resort,3.6,,204.0,,,,,,,,Mumbai,Maharashtra,,,19.1743671,72.7963333,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,-606889,info@theresort.com,https://www.theresort.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Anil Thakur Guest House,3.5,,247.0,,,,,,,,Mumbai,Maharashtra,,,19.1760671,72.7966333,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-982137,info@anilthaku.com,https://www.anilthakurgue.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Rohan,3.3,,173.0,,,,,,,,Mumbai,Maharashtra,,,19.2221778,72.8522858,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-640089,info@rohan.com,https://www.rohan.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Supreme Heritage,3.5,,155.0,,,,,,,,Mumbai,Maharashtra,,,19.0774433,73.0034195,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-446996,info@supremehe.com,https://www.supremeheritag.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
seaview,3.9,,253.0,,,,,,,,Mumbai,Maharashtra,,,19.0959916,72.8269037,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-760070,info@seaview.com,https://www.seaview.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Citizen Hotel,3.5,,278.0,,,,,,,,Mumbai,Maharashtra,,,19.095697,72.8269623,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-515033,info@citizenho.com,https://www.citizenhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Great Punjab Hotel,3.5,,314.0,,,,,,,,Mumbai,Maharashtra,,,18.9440303,72.829059,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-403227,info@greatpunj.com,https://www.greatpunjabho.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Adarsh Palace,4.3,,177.0,,,,,,,,Mumbai,Maharashtra,,,18.9487539,72.8293568,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-539172,info@hoteladar.com,https://www.hoteladarshpa.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Diamond,3.4,,62.0,,,,,,,,Mumbai,Maharashtra,,,18.99282,72.8486524,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-440111,info@diamond.com,https://www.diamond.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Mogul Palace,4.4,,298.0,,,,,,,,Mumbai,Maharashtra,,,18.9546342,72.8354513,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-814934,info@hotelmogu.com,https://www.hotelmogulpal.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Hotel Shantidoot,3.9,,271.0,,,,,,,,Mumbai,Maharashtra,,,19.0084975,72.8405638,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-600814,info@hotelshan.com,https://www.hotelshantidoo.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Carlton Hotel,3.2,,129.0,,,,,,,,Mumbai,Maharashtra,"12, Boman Behram Road (Mere Weather Road), Puducherry",,18.9224055,72.8326985,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,22020642,info@carltonho.com,https://www.carltonhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ratna Mahal,4.0,,88.0,,,,,,,,Mumbai,Maharashtra,,,19.1083564,72.8587789,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-345038,info@ratnamaha.com,https://www.ratnamahal.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Yogi excutive,3.5,,77.0,,,,,,,,Mumbai,Maharashtra,,,19.0705945,73.009586,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-595235,info@yogiexcut.com,https://www.yogiexcutive.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
City Palace,4.6,,118.0,,,,,,,,Mumbai,Maharashtra,,,18.938201,72.8354677,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-591055,info@citypalac.com,https://www.citypalace.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Residency,3.9,,74.0,,,,,,,,Mumbai,Maharashtra,,,18.9349748,72.8332409,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-992822,info@residency.com,https://www.residency.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sai Leela Hotel,4.6,,368.0,,,,,,,,Mumbai,Maharashtra,,,19.1633302,72.8509569,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-324656,info@saileela.com,https://www.saileelahotel.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Pratistha,3.3,,330.0,,,,,,,,Mumbai,Maharashtra,,,19.0539661,72.9111921,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-139153,info@pratistha.com,https://www.pratistha.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Kamat Plaza,4.1,,377.0,,,,,,,,Mumbai,Maharashtra,,,19.0963374,72.8545012,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-481478,info@kamatplaz.com,https://www.kamatplaza.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Airlines International,4.2,,420.0,,,,,,,,Mumbai,Maharashtra,,,19.0843315,72.8441532,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-312781,info@airlinesi.com,https://www.airlinesintern.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Apsara International,3.8,,20.0,,,,,,,,Mumbai,Maharashtra,,,19.079788,72.8385825,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-529166,info@apsaraint.com,https://www.apsarainternat.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Galaxy,3.7,,338.0,,,,,,,,Mumbai,Maharashtra,,,19.0835291,72.8442623,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-829505,info@galaxy.com,https://www.galaxy.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Prince Palace,4.2,,239.0,,,,,,,,Mumbai,Maharashtra,,,19.0810431,72.838974,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-383624,info@princepal.com,https://www.princepalace.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Welco,3.4,,484.0,,,,,,,,Mumbai,Maharashtra,,,19.0805429,72.840324,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-613269,info@welco.com,https://www.welco.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sea Green Hotel,4.1,,490.0,,,,,,,,Mumbai,Maharashtra,,,18.9326798,72.8237555,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-164879,info@seagreen.com,https://www.seagreenhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Abbot Hotel,3.9,,89.0,,,,,,,,Mumbai,Maharashtra,,,19.0736432,72.9969421,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-244126,info@abbothote.com,https://www.abbothotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
InterContinental Hotel,4.0,,253.0,,,,,,,,Mumbai,Maharashtra,"135, Marine Drive, Mumbai",,18.9350805,72.8241417,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 22 6639 9999,info@interconti.com,https://www.ihg.com/intercontinental/hotels/gb/en/mumbai/bomhb/hoteldetail,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Guest House,3.3,,488.0,,,,,,,,Mumbai,Maharashtra,,,19.1297012,72.9147401,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-938265,info@guesthous.com,https://www.guesthouse.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Basant,4.0,,267.0,,,,,,,,Mumbai,Maharashtra,,,19.1631419,72.7901798,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-523839,info@basant.com,https://www.basant.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Bhatia Island,3.3,,249.0,,,,,,,,Mumbai,Maharashtra,,,19.160137,72.7851986,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-641064,info@bhatiaisl.com,https://www.bhatiaisland.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ruskon,3.5,,241.0,,,,,,,,Mumbai,Maharashtra,,,19.1636802,72.7904156,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-561961,info@ruskon.com,https://www.ruskon.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Vyas Wadi,3.5,,65.0,,,,,,,,Mumbai,Maharashtra,,,19.1443977,72.7896652,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-474021,info@vyaswadi.com,https://www.vyaswadi.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Benazeer,3.2,,326.0,,,,,,,,Mumbai,Maharashtra,,,18.9350404,72.833542,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-772603,info@benazeer.com,https://www.benazeer.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Mid Town,3.6,,118.0,,,,,,,,Mumbai,Maharashtra,,,19.1204453,72.844871,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-867212,info@midtown.com,https://www.midtown.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hilltop,3.3,,123.0,,,,,,,,Mumbai,Maharashtra,,,19.0101,72.8179021,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-167252,info@hilltop.com,https://www.hilltop.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Malhar,4.1,,481.0,,,,,,,,Mumbai,Maharashtra,,,19.0597045,72.8976517,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-603309,info@malhar.com,https://www.malhar.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Gokulanand Hotel,3.7,,23.0,,,,,,,,Mumbai,Maharashtra,,,19.2439468,72.8648572,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-752231,info@gokulanand.com,https://www.gokulanandhote.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Anand Bhavan,3.4,,66.0,,,,,,,,Mumbai,Maharashtra,,,19.113053,72.8256428,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-663080,info@anandbhav.com,https://www.anandbhavan.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Royal Inn,3.9,,388.0,,,,,,,,Mumbai,Maharashtra,,,19.2075411,72.9774272,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-417230,info@royalinn.com,https://www.royalinn.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Capitol,4.1,,176.0,,,,,,,,Mumbai,Maharashtra,,,19.2153727,72.9775249,Air Conditioning,Budget,-855208,info@hotelcapi.com,https://www.hotelcapitol.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Lerida,3.5,,278.0,,,,,,,,Mumbai,Maharashtra,,,19.2086291,72.9737343,Air Conditioning,Budget,-443396,info@hotelleri.com,https://www.hotellerida.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Residence Inn Powai,3.5,,447.0,,,,,,,,Mumbai,Maharashtra,,,19.1346222,72.8987555,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-808911,info@residence.com,https://www.residenceinnp.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
The Westin Mumbai Garden City,3.5,,281.0,,,,,,,,Mumbai,Maharashtra,,,19.1723617,72.8605305,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-714192,info@thewestin.com,https://www.thewestinmumb.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
